Unsorted:                               Sorted:
91216                   20809
55374                   20973
77557                   21084
59098                   21093
15199                   21112
35419                   21144
20295                   21205
21691                   21229
49407                   21249
3504                   21258
81173                   21321
73391                   21332
43867                   21365
26055                   21428
27673                   21442
64063                   21494
59784                   21630
33176                   21641
46204                   21651
72015                   21657
94885                   21691
33667                   21716
94371                   21723
36802                   21732
7884                   21758
72840                   21774
70826                   21780
41915                   21845
36004                   21859
96275                   21873
74968                   21953
85587                   21987
42662                   22019
23942                   22034
9772                   22069
32464                   22082
61119                   22117
50832                   22135
23607                   22142
93243                   22146
98239                   22162
33999                   22176
56231                   22213
12447                   22222
86156                   22254
53580                   22274
15337                   22294
96293                   22340
85784                   22372
32823                   22387
63698                   22450
59853                   22468
61358                   22480
69739                   22486
49757                   22528
39942                   22594
28086                   22690
70705                   22736
23481                   22758
22340                   22791
10437                   22827
88175                   22881
12363                   22989
46616                   23063
65069                   23118
13814                   23132
11786                   23166
24862                   23181
52555                   23220
7982                   23241
17223                   23255
53266                   23266
21732                   23272
24819                   23310
91765                   23334
4262                   23335
38794                   23344
18149                   23353
27502                   23447
97449                   23466
56598                   23481
47041                   23486
70489                   23496
67073                   23505
19886                   23579
26269                   23607
76371                   23625
88251                   23627
68559                   23638
63083                   23648
12027                   23679
90509                   23782
70299                   23806
59141                   23848
67267                   23856
48439                   23865
72139                   23879
18344                   23942
82002                   23994
919                   24068
73320                   24159
74889                   24179
81846                   24225
89481                   24248
62473                   24276
63736                   24361
8007                   24379
10060                   24388
87771                   24410
7347                   24460
92759                   24461
81101                   24465
73859                   24472
8797                   24501
97098                   24560
95778                   24586
2548                   24586
2835                   24617
47024                   24630
1904                   24669
13868                   24682
3481                   24782
73952                   24795
87251                   24803
75232                   24819
11327                   24856
67162                   24862
56246                   24901
86324                   24914
66467                   24931
43877                   24937
22135                   24939
13462                   24980
2683                   25002
93134                   25044
52192                   25067
89393                   25127
5774                   25151
91811                   25156
55728                   25308
12819                   25316
43277                   25397
63692                   25414
61504                   25424
60378                   25459
65560                   25491
77014                   25492
58441                   25565
34375                   25595
48857                   25657
31326                   25695
19378                   25714
27007                   25717
82449                   25733
76350                   25743
16694                   25761
40164                   25883
41622                   25904
92171                   26051
15849                   26055
77937                   26077
69886                   26085
2236                   26131
99279                   26131
89321                   26207
18437                   26269
654                   26294
77040                   26303
47000                   26314
22294                   26316
12077                   26450
70084                   26481
76629                   26500
78758                   26519
73351                   26549
56954                   26565
56858                   26601
13831                   26623
18449                   26645
45399                   26711
65259                   26793
50021                   26802
59927                   26804
96596                   26947
73739                   26947
30954                   26989
55997                   27007
93108                   27009
41658                   27047
42777                   27052
1703                   27090
46109                   27107
89418                   27111
80166                   27132
54497                   27164
22162                   27207
9123                   27297
52684                   27394
38292                   27450
74257                   27463
4538                   27469
92491                   27502
80869                   27504
24472                   27521
41906                   27560
62517                   27673
65688                   27686
58066                   27710
46670                   27714
84342                   27748
29363                   27754
14171                   27799
72517                   27809
53433                   27837
42998                   27891
55857                   27902
84309                   27945
1525                   27965
12250                   28011
52561                   28049
11430                   28086
66433                   28095
82786                   28098
453                   28130
80892                   28183
39240                   28218
66428                   28228
53739                   28340
97064                   28452
28729                   28503
95991                   28516
70466                   28581
52933                   28582
91114                   28617
26481                   28670
2142                   28691
18228                   28693
42815                   28729
3164                   28735
71024                   28797
74200                   28829
51577                   28862
13075                   28870
27297                   28891
49227                   28983
58917                   28992
48387                   29052
9211                   29105
49925                   29109
11824                   29267
90678                   29337
40347                   29347
11231                   29356
67705                   29363
65704                   29462
44528                   29550
70209                   29552
38754                   29575
72364                   29666
57180                   29706
97844                   29776
25397                   29791
28098                   29818
31847                   29872
97292                   29890
3109                   30010
12056                   30067
92513                   30071
2162                   30165
83440                   30225
5939                   30226
38048                   30271
71618                   30360
89849                   30384
84889                   30384
50646                   30536
76005                   30560
39615                   30617
39152                   30619
2413                   30633
27809                   30654
5602                   30664
26303                   30666
7828                   30693
52719                   30696
62321                   30750
86423                   30779
57202                   30869
73453                   30954
54208                   30987
17053                   31007
16838                   31073
13235                   31084
29666                   31109
70006                   31128
3980                   31193
63708                   31200
81927                   31207
54313                   31215
97332                   31225
13434                   31234
79779                   31272
94158                   31298
38555                   31326
15331                   31334
93925                   31340
54797                   31369
60836                   31408
98642                   31411
71185                   31441
75463                   31459
20201                   31638
74496                   31677
29575                   31683
97508                   31732
64262                   31735
21428                   31742
16123                   31752
81263                   31832
77329                   31847
16952                   31847
973                   31853
35685                   31947
15074                   31972
92288                   32052
25595                   32055
88507                   32085
84196                   32196
99042                   32216
25733                   32233
47889                   32299
44922                   32332
79566                   32464
73339                   32464
47512                   32523
1890                   32714
59456                   32731
91167                   32792
82903                   32800
47395                   32823
48739                   32823
31128                   32837
84755                   32878
41826                   32889
7845                   32972
75978                   33095
40437                   33103
6040                   33119
79896                   33133
65868                   33176
33357                   33218
42705                   33273
9703                   33290
63215                   33298
6458                   33298
75837                   33303
84377                   33330
57661                   33350
59532                   33357
78897                   33406
21716                   33407
26519                   33460
40537                   33482
87538                   33499
12877                   33630
50998                   33667
13320                   33667
40164                   33688
38474                   33728
53853                   33738
77604                   33811
13140                   33999
19476                   34005
48122                   34025
91665                   34073
22213                   34103
6428                   34147
30360                   34201
26207                   34240
61036                   34249
32823                   34257
95244                   34315
4457                   34327
9138                   34375
53355                   34467
50031                   34500
37206                   34512
32055                   34607
49069                   34612
47170                   34694
84315                   34773
33482                   34798
45166                   34868
87237                   35007
56195                   35057
7021                   35068
81013                   35096
78160                   35118
70084                   35126
98015                   35187
40874                   35189
77340                   35190
96408                   35329
77946                   35332
96738                   35390
16283                   35398
61076                   35419
61685                   35492
54940                   35553
84254                   35676
5741                   35684
94765                   35685
9410                   35687
40934                   35803
47557                   35861
40880                   35880
24937                   35883
44428                   35898
73639                   35937
5041                   35960
19864                   36004
61831                   36014
20809                   36018
31225                   36031
23132                   36040
28011                   36065
34315                   36104
28049                   36135
86834                   36148
85737                   36155
73448                   36174
4977                   36225
19632                   36238
1032                   36261
13840                   36263
38816                   36267
3383                   36313
63974                   36358
8912                   36362
97558                   36407
70076                   36411
82684                   36463
85592                   36467
54407                   36470
31947                   36484
81403                   36518
11958                   36560
98315                   36578
8843                   36591
22736                   36595
3894                   36619
3139                   36621
28829                   36652
81587                   36663
91816                   36731
55816                   36802
87647                   36853
55398                   36863
46626                   36870
82455                   36883
56558                   36976
36619                   36982
60681                   36988
46354                   37081
9597                   37183
59886                   37206
79128                   37218
9797                   37238
14125                   37241
74997                   37243
24560                   37280
86220                   37302
91959                   37336
86411                   37348
48402                   37436
74916                   37504
40859                   37563
57196                   37612
71319                   37654
58374                   37664
51721                   37728
33350                   37747
83536                   37814
2275                   37829
81578                   37898
2066                   37972
52645                   38021
32464                   38048
3995                   38079
51280                   38085
50397                   38088
96370                   38158
17065                   38170
4220                   38184
31847                   38240
36463                   38275
77101                   38281
62062                   38288
90059                   38292
62109                   38320
74015                   38375
56645                   38417
40012                   38461
71086                   38474
23865                   38479
74314                   38539
34073                   38555
70593                   38595
33406                   38631
80337                   38634
2202                   38666
59911                   38686
6759                   38690
22146                   38726
31638                   38733
48994                   38754
4599                   38773
7053                   38780
11288                   38794
25717                   38797
95877                   38806
10840                   38811
17483                   38816
99455                   38826
78710                   38828
86116                   38855
25492                   38873
40433                   38895
7777                   38899
56405                   38941
15499                   38963
80569                   39023
63584                   39072
44047                   39085
8432                   39090
19363                   39109
90383                   39152
13096                   39174
44973                   39204
45502                   39213
12042                   39240
35898                   39289
46480                   39371
15516                   39377
68230                   39467
97001                   39504
21641                   39521
59345                   39552
74135                   39568
71357                   39588
67649                   39612
73355                   39615
59282                   39634
69856                   39657
38826                   39710
30693                   39711
64973                   39893
78524                   39893
89006                   39942
19688                   40012
14304                   40101
75263                   40146
20973                   40164
23496                   40164
1636                   40335
1359                   40347
9966                   40351
84584                   40433
51852                   40437
36988                   40537
42448                   40566
69091                   40582
78899                   40662
98949                   40697
21093                   40740
37081                   40758
87551                   40795
93124                   40809
63986                   40818
25695                   40859
84776                   40868
82977                   40874
60786                   40880
17989                   40934
29337                   40944
70580                   41003
12152                   41076
82195                   41112
91394                   41115
32332                   41123
69873                   41125
45687                   41181
51395                   41255
80965                   41283
60823                   41286
6637                   41311
46002                   41326
30271                   41327
99990                   41328
13546                   41329
62455                   41369
44364                   41383
46585                   41430
1772                   41438
78338                   41450
22254                   41461
76087                   41502
68860                   41522
66120                   41524
90578                   41548
66945                   41555
3682                   41557
43273                   41560
6996                   41622
72267                   41658
88292                   41707
82651                   41745
10755                   41814
14499                   41826
24980                   41837
75022                   41838
81205                   41870
7464                   41875
60414                   41879
94000                   41883
77006                   41906
2814                   41915
4364                   41928
32878                   41963
80792                   42146
87975                   42260
22034                   42266
15679                   42337
97225                   42337
94452                   42448
14362                   42489
65543                   42530
14643                   42587
56490                   42601
77635                   42622
43009                   42662
80327                   42662
68582                   42705
76751                   42740
49867                   42777
51904                   42815
94650                   42850
68120                   42870
11803                   42877
80426                   42998
16196                   43009
36261                   43029
21987                   43079
48703                   43125
99937                   43131
65492                   43150
79632                   43162
45408                   43178
51044                   43273
64304                   43276
6552                   43277
6297                   43339
15602                   43347
8794                   43543
64569                   43564
61287                   43598
47804                   43668
11776                   43807
11753                   43867
29550                   43877
22117                   43901
11619                   43930
10279                   43969
9782                   43977
78726                   43995
44067                   44047
90806                   44067
24179                   44187
75064                   44241
38085                   44259
15758                   44288
57411                   44291
99040                   44364
73152                   44391
41115                   44428
50618                   44528
54638                   44552
3482                   44569
71716                   44596
58240                   44664
90103                   44776
9554                   44779
31408                   44803
54287                   44839
59373                   44856
82064                   44866
50613                   44895
38461                   44903
88799                   44922
94746                   44965
70148                   44973
8277                   45020
47969                   45020
99780                   45021
38375                   45027
93959                   45053
98049                   45086
630                   45092
97023                   45166
92489                   45178
27207                   45244
74257                   45259
74039                   45321
6903                   45334
38690                   45388
86763                   45389
95791                   45392
8138                   45399
74901                   45408
45536                   45502
58928                   45536
49473                   45575
29462                   45656
76309                   45687
63500                   45687
8219                   45765
60597                   45874
71954                   45876
37504                   45916
48350                   45994
85234                   46002
60566                   46036
13362                   46093
12171                   46101
64013                   46101
91036                   46109
86486                   46166
59440                   46180
25491                   46204
40868                   46235
78697                   46289
6603                   46297
35398                   46321
84543                   46333
50118                   46354
2570                   46480
96266                   46585
29356                   46597
91591                   46616
79268                   46626
32800                   46670
3177                   46711
71172                   46778
58741                   46810
54340                   46849
62356                   46856
79456                   46929
57879                   46935
24856                   46937
11318                   47000
52763                   47003
83026                   47024
65853                   47041
57695                   47044
86126                   47092
96954                   47099
13473                   47170
54215                   47235
50191                   47258
11182                   47395
86814                   47426
29872                   47428
13228                   47478
16930                   47512
24939                   47548
25657                   47557
21365                   47595
18225                   47621
69406                   47676
80612                   47702
25883                   47717
31340                   47804
62922                   47867
72632                   47889
23782                   47969
23353                   47983
90021                   48028
69287                   48069
61982                   48076
85145                   48095
68339                   48106
91165                   48122
98155                   48212
65834                   48291
75898                   48336
35960                   48350
94313                   48379
67995                   48387
93275                   48402
17484                   48409
15464                   48439
15769                   48448
3227                   48474
45027                   48507
93250                   48522
5092                   48598
78274                   48639
89138                   48666
66175                   48703
89292                   48716
8729                   48731
96224                   48736
31411                   48739
92356                   48842
54858                   48857
72897                   48864
8531                   48873
32731                   48927
83728                   48994
76970                   49058
66875                   49064
60204                   49066
44259                   49069
4755                   49097
75278                   49133
94919                   49202
25127                   49227
41745                   49290
18423                   49302
3387                   49335
27164                   49402
70316                   49407
5477                   49440
61617                   49473
30067                   49535
15139                   49605
96202                   49653
96274                   49660
59147                   49740
61462                   49757
35057                   49760
8914                   49768
83434                   49792
90286                   49831
93569                   49850
76871                   49867
36982                   49895
67060                   49925
8724                   49941
34257                   49967
36731                   50021
96378                   50031
41963                   50118
79406                   50128
58674                   50133
41461                   50162
70099                   50188
27714                   50191
1403                   50216
49967                   50217
24276                   50264
91298                   50281
39521                   50284
66306                   50296
53065                   50340
6554                   50354
74654                   50394
72329                   50397
49831                   50401
69637                   50527
88563                   50613
48842                   50618
25761                   50646
2026                   50749
35676                   50794
50794                   50832
25459                   50840
56099                   50874
3881                   50902
45321                   50942
58534                   50972
92856                   50979
75397                   50998
77870                   51013
48873                   51041
3630                   51044
43131                   51125
8154                   51174
488                   51274
40351                   51280
22069                   51306
39371                   51335
25714                   51395
22690                   51407
79505                   51430
86158                   51577
41328                   51597
27394                   51617
79700                   51646
70841                   51713
60100                   51720
26131                   51721
33298                   51733
12525                   51775
53230                   51812
36467                   51852
59                   51904
62196                   51978
77672                   51986
33811                   51992
35937                   52001
23627                   52028
85507                   52099
81208                   52148
19224                   52171
51713                   52192
68391                   52352
4409                   52381
71475                   52388
52388                   52398
36263                   52409
56515                   52515
34103                   52536
52623                   52537
84540                   52555
91047                   52561
64655                   52619
43807                   52623
61890                   52645
93220                   52649
14247                   52651
27047                   52684
83725                   52719
30869                   52763
78105                   52775
16234                   52828
68879                   52887
21859                   52933
94976                   52978
96502                   52985
18293                   53043
62273                   53065
77278                   53067
49660                   53149
36135                   53206
72773                   53227
80449                   53230
78949                   53266
56251                   53355
17144                   53406
80143                   53433
13387                   53579
65165                   53580
28582                   53596
97316                   53644
79252                   53713
80864                   53739
70681                   53790
18532                   53853
17460                   53935
91547                   53948
18207                   53990
28691                   54050
2971                   54090
44779                   54145
52409                   54208
60329                   54215
60556                   54218
94581                   54222
55859                   54286
66135                   54287
78719                   54313
74908                   54340
18028                   54407
94961                   54497
90820                   54554
28891                   54562
84540                   54576
91697                   54600
65772                   54638
80519                   54652
65385                   54714
65130                   54741
72682                   54745
93961                   54797
84194                   54858
69239                   54908
37218                   54915
55444                   54932
73466                   54940
92530                   55024
10227                   55129
84318                   55135
10296                   55164
80955                   55236
38941                   55256
81069                   55258
7647                   55267
26804                   55374
55256                   55386
44291                   55398
976                   55428
65106                   55444
91479                   55473
71354                   55485
15436                   55489
27090                   55506
38895                   55515
7103                   55564
71729                   55601
68346                   55685
67287                   55704
42260                   55728
30384                   55754
21229                   55793
59713                   55816
33298                   55823
58338                   55857
72714                   55859
85599                   55944
4143                   55976
21144                   55981
1463                   55997
9880                   56029
77877                   56092
16863                   56099
22274                   56140
97837                   56148
69782                   56152
67910                   56157
6481                   56195
44903                   56211
4150                   56231
38855                   56246
67433                   56251
96777                   56294
36225                   56304
93080                   56405
64705                   56405
77510                   56490
71016                   56515
998                   56558
21723                   56584
41327                   56596
21953                   56598
99811                   56600
89448                   56645
40566                   56705
55976                   56858
36407                   56860
78820                   56929
69559                   56935
3633                   56954
90926                   57009
30654                   57180
96446                   57196
78687                   57202
6845                   57298
28095                   57353
84955                   57362
25316                   57411
28693                   57447
31084                   57452
49535                   57458
41870                   57500
67629                   57595
75044                   57633
6609                   57656
5224                   57661
34607                   57661
52352                   57695
24586                   57730
25424                   57823
55704                   57833
7341                   57879
93454                   57895
86281                   57964
258                   58066
34249                   58122
83257                   58153
31234                   58195
43150                   58223
21332                   58240
17457                   58307
57964                   58338
24225                   58374
5810                   58441
87766                   58534
56584                   58536
50354                   58560
17861                   58632
25044                   58654
51617                   58663
83724                   58674
38539                   58741
72053                   58746
89733                   58771
63436                   58817
85107                   58880
14572                   58883
91373                   58917
2171                   58928
79813                   59013
33218                   59051
57595                   59087
37436                   59098
45389                   59124
89063                   59141
28452                   59147
64332                   59164
6042                   59215
58122                   59282
36267                   59310
58560                   59345
90453                   59360
38733                   59373
54600                   59440
76174                   59456
35883                   59495
37280                   59532
52887                   59574
15758                   59606
98810                   59610
68779                   59671
38828                   59713
41560                   59784
82263                   59827
30536                   59853
5839                   59880
24931                   59886
63522                   59898
8127                   59911
28862                   59927
90960                   60039
76699                   60100
77001                   60108
93533                   60133
76146                   60138
86839                   60185
46849                   60204
82882                   60287
94122                   60296
18809                   60329
53596                   60330
52537                   60332
12417                   60334
23625                   60378
12138                   60386
90963                   60414
77400                   60498
39467                   60556
14581                   60560
18483                   60566
12519                   60571
74333                   60597
14016                   60665
32972                   60676
2428                   60681
99283                   60708
7026                   60722
41125                   60786
6666                   60823
42870                   60823
99393                   60832
49768                   60836
80517                   60898
63825                   60953
70288                   60972
70217                   60979
26314                   61008
85133                   61036
15235                   61076
57458                   61079
90400                   61094
55489                   61119
83196                   61119
65640                   61178
75593                   61254
86357                   61278
95617                   61287
65642                   61329
28670                   61334
98953                   61358
1900                   61452
56157                   61462
92898                   61504
7862                   61507
14443                   61570
85338                   61617
17128                   61620
55485                   61631
66429                   61685
57661                   61696
34327                   61724
65019                   61730
51733                   61785
21258                   61802
55601                   61831
78028                   61873
89637                   61883
44866                   61885
89765                   61890
85068                   61915
92963                   61916
87831                   61920
24669                   61957
38281                   61982
76385                   62015
84180                   62032
5278                   62054
15511                   62062
49290                   62109
7998                   62116
56596                   62190
27463                   62196
31272                   62273
18361                   62321
45392                   62356
79981                   62382
45244                   62455
12901                   62473
31007                   62517
85244                   62523
98836                   62530
10360                   62533
41311                   62653
75053                   62839
26601                   62922
88661                   63064
47099                   63083
41557                   63103
44288                   63215
24795                   63238
75905                   63288
56140                   63352
619                   63436
4228                   63500
95918                   63506
90797                   63522
60979                   63532
38079                   63565
40697                   63584
46321                   63680
31742                   63692
94542                   63698
26645                   63700
79556                   63708
78877                   63736
93851                   63742
93579                   63784
83168                   63825
9938                   63841
78089                   63846
61254                   63850
42601                   63921
46166                   63949
13112                   63960
61507                   63970
6948                   63974
58195                   63982
74441                   63986
86624                   64013
61696                   64063
61119                   64129
4440                   64177
73465                   64194
87182                   64199
8846                   64209
34798                   64262
46935                   64270
50264                   64288
37183                   64304
67817                   64332
48731                   64439
76896                   64467
43543                   64509
17246                   64569
67105                   64655
1961                   64682
14694                   64705
39710                   64973
7204                   65019
7965                   65054
75135                   65063
62116                   65069
11694                   65093
55236                   65106
19414                   65130
92174                   65136
26947                   65165
2238                   65225
54745                   65255
42146                   65259
67754                   65385
28183                   65395
2749                   65409
44803                   65492
57009                   65502
18018                   65532
38726                   65543
34773                   65556
2354                   65560
33290                   65580
53948                   65630
93769                   65640
11185                   65642
95329                   65663
45259                   65688
98345                   65704
4828                   65723
93355                   65772
30617                   65834
5903                   65853
23848                   65868
42662                   65873
66151                   65937
29052                   66017
90087                   66120
92821                   66135
84697                   66141
72828                   66151
26500                   66175
22881                   66248
93132                   66306
9955                   66367
72518                   66428
30696                   66429
73819                   66433
88201                   66467
79155                   66485
79384                   66520
99015                   66579
69534                   66628
85598                   66774
68169                   66787
19004                   66793
64270                   66813
4508                   66875
56029                   66921
70235                   66923
50284                   66945
62653                   67030
36238                   67060
20532                   67073
41369                   67105
23241                   67162
21084                   67180
90541                   67195
50340                   67216
59495                   67267
45334                   67272
2706                   67287
70717                   67398
43668                   67433
